slug,score,category,note
oyster-sauce,4,,pouring oyster sauce
palm-sugar,4,,palm sugar discs
pancake,4,,"stack of pancakes, appealing"
pancetta,4,,rolled pancetta
panch-phoron,4,,spice seed mix pile
paneer-cheese,4,,white paneer block
panela-cheese,4,,white cheese pieces
panettone,4,,panettone
parmesan-cheese,4,,parmesan wheel + wedge
pastis,4,,glass of pastis
pastrami,4,,pastrami sandwich
pastry-cream,4,,bowl of pastry cream
peanut-butter,4,,jar of peanut butter
pecorino-cheese,4,,pecorino on board
pepperoncini-pepper,4,,pepperoncini peppers
pepperoni,4,,pepperoni pizza
perch,4,,perch fish
perciatelli,4,,dry perciatelli pasta
pickled-onion,4,,jar of pickled onions
pierogies,4,,pierogies
piloncillo,4,,piloncillo sugar cones
pimms,4,,Pimm's bottle + cocktail
pine-nut,4,,pine nuts pile
pinto-bean,4,,pinto beans pile
piquillo-pepper,4,,piquillo peppers
pomelo-fruit,4,,pomelo whole + segments
porcini-mushroom,4,,"porcini mushroom, clean"
pork,4,,raw pork belly on board
port-wine,4,,"glass of port, appealing"
porter,4,,glass of dark porter
potato-bread,4,,loaf of bread
pound-cake,4,,pound cake
pretzel,4,,pretzels
prosciutto,4,,prosciutto ham leg
prosecco,4,,bottle + glass
provolone-cheese,4,,provolone with label
prune,4,,prunes pile
pumpkin,4,,pile of pumpkins
purslane,4,,purslane succulent
raisin,4,,bowl of raisins
raisin-bread,4,,raisin bread loaf + slice
ranch-dressing,4,,jar of ranch
ras-el-hanout-spice-mix,4,,bowl of spice powder
ravioli,4,,ravioli dish
razor-clam,4,,razor clam
red-bean,4,,bowl of red beans
red-lentil,4,,assorted lentil piles
red-onion,4,,"red onions, clean"
red-rice,4,,pile of red rice
red-snapper,4,,red snapper fish
red-wine,4,,"glass of red wine, appealing"
rhubarb,4,,"rhubarb stalks, clean"
rice-bran-oil,4,,rice bran oil bottle
rice-cracker,4,,pile of rice crackers
rockfish-fillet,4,,whole rockfish
romano-bean,4,,romano beans on plate
romano-cheese,4,,romano cheese wedges
romesco-sauce,4,,bowl of romesco + ingredients
root-beer,4,,mug of root beer
roquefort-cheese,4,,roquefort wedge
rose,4,,pink rose flower
rose-wine,4,,glass of rose
roux,4,,bowl of roux + whisk
rye-cracker,4,,rye crackers
rye-whiskey,4,,whiskey bottle
salami,4,,salami with white rind
salmon,4,,whole salmon
sambal-oelek,4,,red sambal + lime
sea-bream,4,,sea bream fish
sea-scallop,4,,scallop shell + meat
seafood,4,,seafood platter
semolina,4,,pile of semolina
shad,4,,shad fish
shallot,4,,shallots whole + cut
shichimi-togarashi,4,,orange spice pile
shimeji-mushroom,4,,cluster of mushrooms
shortbread,4,,shortbread round
silken-tofu,4,,tofu block on blue plate
smoked-fish-fillet,4,,pink fish fillet
smoked-ham,4,,smoked ham
smoked-salmon,4,,smoked salmon canape
smoked-turkey,4,,smoked/roasted turkey
smoked-whitefish,4,,whitefish
snail,4,,escargot dish
sole,4,,sole fish
soppressata,4,,soppressata slices
sorbet,4,,"bowl of red sorbet, appealing"
sorrel,4,,sorrel leaves
soy-sauce,4,,bowl of soy sauce
soya-milk,4,,bottle + glass of milk
soymilk,4,,bottle + glass of milk
spaetzle-noodle,4,,pile of spaetzle
spaghetti-squash,4,,whole spaghetti squash
sparkling-wine,4,,glass of sparkling wine
speck,4,,speck cured meat
sponge-cake,4,,sponge cake
spring-cabbage,4,,cabbage whole + cut
squash-blossom,4,,squash blossoms
sriracha-sauce,4,,sriracha bottle
stevia,4,,"green stevia leaf, clean"
sturgeon-fillet,4,,fish fillet
sugar-pumpkin,4,,pumpkins
sumac,4,,red sumac berry clusters
sunflower-seed,4,,sunflower seeds shelled + shell
swiss-chard,4,,"swiss chard, clean"
swiss-cheese,4,,swiss cheese wedge with holes
swordfish,4,,swordfish
szechuan-peppercorn,4,,szechuan peppercorns pile
taleggio,4,,taleggio wedge
tamale,4,,tamales on plate
tamari,4,,bowl of dark tamari
tapenade,4,,mound of tapenade
tatsoi,4,,green tatsoi leaves
tempeh,4,,tempeh blocks
tequila,4,,tequila bottles + glass
thyme,4,,bundle of thyme
tia-maria,4,,Tia Maria box + glass
tofu,4,,tofu block on blue plate
tomato-juice,4,,glass of tomato juice + tomato
tonkatsu-sauce,4,,tonkatsu sauce bottle + drink
tortellini,4,,tortellini
tortilla,4,,tortillas
tortilla-chip,4,,tortilla chips + salsa
trout,4,,trout
tuna,4,,tuna fish
turbot,4,,turbot fish
turkey,4,,roasted turkey
tzatziki,4,,bowl of tzatziki
udon-noodle,4,,bowl of udon
vanilla-sugar,4,,jar of vanilla beans in sugar
vegetable-broth,4,,bowl of broth + spoon
vegetable-oil,4,,decanter of oil
velveeta-cheese,4,,yellow cheese block
venison,4,,raw venison steaks
vermicelli,4,,plate of vermicelli
vermouth,4,,vermouth bottles
vin-santo,4,,biscotti + glass of vin santo
vodka,4,,Smirnoff bottle
waffle,4,,"waffles + strawberries, appealing"
walleye,4,,walleye fish
watermelon,4,,whole watermelon
white-chocolate,4,,white chocolate chunks
white-pearl-onion,4,,pearl onions pile
white-truffle,4,,white truffle
white-wine,4,,glass of white wine
wine,4,,red + white wine glasses
winter-squash,4,,assorted squashes
wonton,4,,plate of wontons
wood-ear-mushroom,4,,wood ear mushroom
worcestershire-sauce,4,,bowl of dark sauce
yellow-pepper,4,,"bell peppers incl yellow, clean"
yogurt,4,,bowl of yogurt
yuzu,4,,"yuzu citrus, clean"
almond,5,,clean almonds
apple,5,,clean red apple
apricot,5,,"whole + half, clean"
artichoke,5,,"green artichoke, clean"
beef,5,,"raw ribeye, clean and appealing"
bell-pepper,5,,"three peppers, clean and appealing"
black-rice,5,,clean pile of black rice
blood-orange,5,,"halves, clean and appealing"
bok-choy,5,,clean bok choy
brie-cheese,5,,"brie wedge, clean"
broccoli,5,,"two broccoli, clean"
butternut-squash,5,,"cut butternut, clean"
button-mushroom,5,,"button mushrooms, clean"
camembert-cheese,5,,"wheel + wedge, clean"
cauliflower,5,,"cauliflower head, clean"
chanterelle-mushroom,5,,"chanterelle, clean and accurate"
chayote,5,,"chayote squash, clean"
cherry,5,,"two cherries, clean"
cherry-tomato,5,,"cherry tomatoes, clean"
chili,5,,"colorful chilies, clean"
chili-pepper,5,,"colorful chilies, clean"
chocolate,5,,"chocolate bar, clean"
clementine,5,,"clementines, clean and appealing"
croissant,5,,"croissant, clean and appealing"
dandelion-flower,5,,"dandelion flower, clean"
fiddlehead,5,,"fiddleheads, clean and accurate"
glutinous-rice,5,,"sticky rice mound, clean"
grapefruit,5,,"whole + half, clean and appealing"
green-pea,5,,"pea pods, clean"
guava,5,,"whole + half, clean and appealing"
habanero,5,,"orange habanero, clean"
habanero-pepper,5,,"orange habanero, clean"
honeydew-melon,5,,"honeydew cut, clean"
jalapeno,5,,"two jalapenos, clean"
kumquat,5,,"kumquats whole + cut, appealing"
lemon,5,,"lemon, clean and appealing"
lime,5,,"lime, clean and appealing"
mango,5,,"mango whole + half, appealing"
morel,5,,"morel mushroom, clean"
orange,5,,"orange whole + half, appealing"
paprika,5,,"paprika powder pile, clean"
pattypan-squash,5,,"pattypan squashes, clean"
pea,5,,"pea pods, clean"
pear,5,,"pears, clean and appealing"
pepper,5,,"bell peppers, clean"
persimmon,5,,"persimmons whole + half, appealing"
plum,5,,"plums whole + cut, appealing"
pomegranate,5,,"pomegranate + juice, appealing"
radicchio,5,,"radicchio half, clean"
red-cabbage,5,,"red cabbage, clean"
saffron,5,,"bowl of saffron threads, appealing"
scotch-bonnet-pepper,5,,"orange scotch bonnet, clean"
shiitake-mushroom,5,,"shiitake mushrooms, clean"
sticky-rice,5,,"sticky rice mound, clean"
strawberry,5,,"strawberry, clean and appealing"
tangerine,5,,"tangerine, clean and appealing"
tomato,5,,"tomatoes, clean and appealing"
turnip,5,,"turnips, clean"
walnut,5,,"walnuts, clean"
white-mushroom,5,,"white mushrooms, clean"
zucchini,5,,"zucchini, clean"
